ID,post_title
715,מרכז את&#8217;קפאת -תרבות משותפת בנגב
714,מרכז את&#8217;קפאת -תרבות משותפת בנגב
711,מרכז את&#8217;קפאת -תרבות משותפת בנגב
709,"בוניה (bunya) ) – לומדים לתקשר, להכיר ולהתחבר"
708,חמ&#8221;ל התרבות בנגב – מקדמים תרבות משותפת
707,נשות הדבש של נחל ציפורי
706,בניית שדה השיח הבין-דתי בישראל
705,הכשרת מנחים ופיתוח תוכן להפחתת דעות קדומות וגזענות
704,מעגלי נשים סבאיא
703,אדבר איתך &#8211; שתי שפות. אהבה אחת.
702,עוטף דג- כיתות האמן הטיפוליות של 100 דגים- הדג נחש
701,ספריה דו לשונית ערבית – עברית בלוד לעידוד קריאה בגיל הרך
700,שיפור מערכות יחסים בחברה מגוונת ומקוטבת בדרך ה-U; התוכנית: &#8220;לפלס דרכים&#8221;
699,זורנא &#8211; קולקטיב ארטיביסטי יהודי ערבי לתרבות ולשינוי
698,גשרים של הכרות
697,אנסמבל הנוער של הגליל של תזמורת ירושלים מזרח ומערב
696,מועדון האופניים הקהילתי &#8220;המסלול יפו&#8221;
695,יוצרים עתיד: חינוך אזרחי לדמוקרטיה בהכשרה להוראה
694,כפר סטודנטים יהודי-ערבי
693,חברה משותפת &#8211; המודל המקומי
692,מסע בית הלל
691,חינוך לשותפות &#8211; רשויות שכנות
690,נוער מוביל תרבות
689,רוקמות שותפות
688,לחיות ביחד
687,אקוסיסטם הבוסתן לתמיכה בחברה משותפת
686,במה משותפת &#8211; תיאטרון לקירוב לבבות
685,חִבּוּרֵי יַלְדוּת
684,שכונת הפסיפס
683,שיח נשי יהודי מוסלמי  יוזמות תקווה
682,מעגל סבאיא –  מעגל נשים שותפות
681,חממת יזמות תרבות-תיירות לנשים יוצרות בחברה הבדואית בנגב סטודיו משלך
680,חממה לחיים משותפים בארגוני הנוער
679,הליכות דאלוגיות במרחב השכונתי / עירוני BEDO
678,המשך &#8211; אקלים של אחדות
677,שותפות ערבית-יהודית חוף הכרמל &#8211; ארוע אופני שטח בפרדיס
676,פיתוח תוכן יעודי להכשרות מורים בתחום שיקום היחסים בין קבוצות בחברה הישראלית
675,מקהלת ראנה- מקהלת הנשים הערבית-יהודית ביפו
674,"חברתי &#8211; ארץ, עיר, שכונה ובית"
673,ג’ודו עם שכנים
672,"בניא (bunya) – לומדים לתקשר, להכיר ולהתחבר – הכשרת פעילים חברתיים"
671,ביחד למען משאב אזורי &#8211; שותפות להצלת ים המלח
670,עידוד- חלק בעולם הבא
669,תוואסול &#8211; מתחברים
668,שכנות טובה
667,שותפות בתנועה
666,קבוצות לימוד בין דתיות
665,ערבות
664,נשות ירושלים
663,מרחב רב תרבותי בבי&#8221;ס תווים לילדי לוד על הרצף האוטיסטי
662,מובילות חיבור
661,"לשתף בכאב, ליצור תקווה"
660,להתחיל ב800
659,התכנית לסטודנטים מצטיינים במערכת החינוך לצמיחה חברתית וחיבור בין הקבוצות השונות בחברה הישראלית
658,העצמה ובניית חוסן אישי בקרב צעירי החברה הערבית בלוד
657,הוילג&#8217; &#8211; בית הנשים
656,דג עוטף &#8211; 100 דגים מיסודה של הדג נחש
655,אדבר איתך &#8211; שתי שפות. אהבה אחת בהובלת תזמורת המהפכה ובשיתוף משרד החינוך
654,מזרעה &#8211; חוות בארי מרכז קהילתי תחת כיפת שמיים
653,Blend.Arabicבלנדר &#8211; המודל הארצי &#8211; מדברים באמת
652,המשך
651,סיורים מספרים
650,יצירת מרחב לשיח ושיתוף פעולה בבסמת וקרית טבעון
649,הקמת בית-ספר רב-תרבותי צומח בגליל המערבי: שלב א&#8217;
648,דיאלוג בין תרבויות מוזיקליות
647,רקורד הנוער/ אְל שָבִּיבִּה
646,שיח נשי יהודי מוסלמי
645,על המקאם הזה: אמנות התרגום כאפשרות למפגש
644,נעות
643,נוער מנהיג שינוי בנחל
642,מרכז קיימות וחנות יד 2 דברים מהלב
641,מעגלי חיכאיאת (סיפורים)
640,מעגל סבאיא – מעגל נשים בגליל העליון
639,מכוונים גאווה
638,מי שחיפש מצא ומי שזרע קצר
637,בין השמשות &#8211; המרכז לתרבות המחלוקת
636,קואליציית המנהיגות של עכו
635,שוף אל נוף &#8211; מיזם טיולים משותפים
634,עיוני – קבוצת תיאטרון לנשות רהט ונשות שדרות
633,נפגשים בשבילי אברהם אבינו
632,מרכז חדשנות אזורי לקיימות חברתית jacahub: Jewish-Arab Carmel Area Hub
631,מרכז &#8220;ניסאן&#8221; במכון ון-ליר
630,חברותא בסלון
629,אקלים של אחדות
628,תוכנית התיכונים למנהיגות ובמשפט
627,Migvanim: a multicultural dialogue in the neighborhoods of south Tel Aviv
626,יפו בוחרת בחיים
625,דוגרי
624,פשוט להיפגש בדיגיטאל
623,מעגלים  מגוונים בקהילה יצירת שיח משתף בין קהילות דר&#8217; ת&#8221;א
622,חדיקתנא (גינתנו)- שותפות נשים ערביות ויהודיות בגינה קהילתית בג&#8217;לג&#8217;וליה
621,חברה לעט
620,אשת אשכולות &#8211; סופרסונס
619,תוכנית סאל&#8221;ם
618,שווות ביחד
617,קולאז&#8217;: השמעת קול בשפת הצילום של מגוון הקהילות בישראל
616,מרכז את&#8217;קפאת -תרבות משותפת בנגב
615,מכתבתי אלאולה
614,מחנכי עיר &#8211; אשכול בית הכרם
613,חממה לחיים משותפים
612,זה לצד זה – מודל ירושלמי לשכונה מעורבת
611,אנסמבל &#8220;קול הנוער&#8221; &#8211; תיאטרון לקידום נוער בסיכון בעיר רמלה
610,איחוד קהילות הורים  &#8211; It takes more than a village
609,בונים את המשותף &#8211; מנכ&#8221;ל רמלה
608,תג מאיר בקמפוס &#8211; סניף בן גוריון
607,רשם אקטיביזם העיתונאי &#8211; התנועה לעיתונות ציבורית
606,ערוגות של תרבויות
605,סיפורים מהאדם אל הבמה &#8211; הצגה של קהילה
604,נהר החיים &#8211; בין ביוגרפיה אישית לביוגרפיה חברתית כמצע לחיים משותפים מיטיבים
603,מסע בין אדם למקום
602,חוקרים יחד
601,הליכות דיאלוגיות במרחב השכונתי עירוני
600,חלקי
599,עידוד
598,מעגלים מגוונים בקהילה יצירת שיח משתף בין קהילות דרום תל אביב
597,מוסיקה מחברת &#8211; קליפים מוסיקליים
596,הינשוף קידום אומנות רב תרבותית בלוד ככלי לטוב משותף
595,תוכנית ניר
594,מפרשים &#8211; כולנו בסירה אחת
593,שוות ביחד
592,מכינות כיוונים לחיים משותפים בחיפה
591,חזקים ביחד
590,חיים משותפים &#8216;תוצרת השכונה&#8217; מצילות מזון
589,מנהיגות צעירה לצמצום הרדיקליזציה ברשתות החברתיות והגברת החשיבה הביקורתית
588,הפאב החברתי &#8216;העצלן&#8217;
587,בניית תקווה בלוד
586,ארגון אחד זהויות רבות
585,מתגלה &#8211; חיבורים לאור ירח- מפגש דיאלוג ולימוד משותף אחת לחודש לאור ירח
584,חוות בארי מרכז קהילתי תחת כיפת השמיים
583,תכנית התמחות עיתונאים בירושלים
582,תכנית נמ&#8221;ל מצמיחים
581,תוכנית &#8220;הרשת&#8221; והקמת &#8220;הרשתית&#8221; האב החברתי בבית שאן
580,סיור נרטיבים ביפו &#8211; בית סיסטם עאלי
579,סטודיו משלך- מרכז לאומנות נשים
578,מעיין במדבר
577,מסע חברתי- מפגש של סטודנטים ממגזרים מגוונים למספר ימים חוויתיים בטבע
576,מועצת נשים  ארצית של יהודיות וערביות
575,הרחבת מאמנט בחברה הערבית ופיתוח מאמנט בחברה הערבית
574,ירושלמית מדוברת
573,המרכז לצדק חברתי בעיר חריש
572,החממה &#8211;  אלדפיאה מנהיגות נשית ויזמות מקומית
571,בלנדר אראביכ
