custom_id,wordpress_id,title
1,571,בלנדר אראביכ
3,573,המרכז לצדק חברתי בעיר חריש
4,574,ירושלמית מדוברת
5,575,הרחבת מאמנט בחברה הערבית ופיתוח מאמנט בחברה הערבית
6,577,מסע חברתי- מפגש של סטודנטים ממגזרים מגוונים למספר ימים חוויתיים בטבע
7,578,מעיין במדבר
8,579,סטודיו משלך- מרכז לאומנות נשים
13,586,ארגון אחד זהויות רבות
15,589,מנהיגות צעירה לצמצום הרדיקליזציה ברשתות החברתיות והגברת החשיבה הביקורתית
17,591,חזקים ביחד
18,592,מכינות כיוונים לחיים משותפים בחיפה
19,593,שוות ביחד
21,595,תוכנית ניר
22,596,הינשוף קידום אומנות רב תרבותית בלוד ככלי לטוב משותף
23,598,מעגלים מגוונים בקהילה יצירת שיח משתף בין קהילות דרום תל אביב
24,601,הליכות דיאלוגיות במרחב השכונתי עירוני
25,602,חוקרים יחד
26,603,מסע בין אדם למקום
28,606,ערוגות של תרבויות
33,612,זה לצד זה – מודל ירושלמי לשכונה מעורבת
34,613,חממה לחיים משותפים
36,615,מכתבתי אלאולה
39,618,שווות ביחד
44,624,פשוט להיפגש בדיגיטאל
45,625,דוגרי
46,626,יפו בוחרת בחיים
47,627,Migvanim: a multicultural dialogue in the neighborhoods of south Tel Aviv
48,628,תוכנית התיכונים למנהיגות ובמשפט
49,629,אקלים של אחדות
50,630,חברותא בסלון
52,632,מרכז חדשנות אזורי לקיימות חברתית jacahub: Jewish-Arab Carmel Area Hub
53,633,נפגשים בשבילי אברהם אבינו
54,634,עיוני – קבוצת תיאטרון לנשות רהט ונשות שדרות
56,636,קואליציית המנהיגות של עכו
58,639,מכוונים גאווה
59,640,מעגל סבאיא – מעגל נשים בגליל העליון
60,641,מעגלי חיכאיאת (סיפורים)
61,643,נוער מנהיג שינוי בנחל
62,644,נעות
63,645,על המקאם הזה: אמנות התרגום כאפשרות למפגש
64,646,שיח נשי יהודי מוסלמי
65,648,דיאלוג בין תרבויות מוזיקליות
67,650,יצירת מרחב לשיח ושיתוף פעולה בבסמת וקרית טבעון
68,651,סיורים מספרים
70,596,הינשוף קידום אומנות רב תרבותית בלוד ככלי לטוב משותף
