ID,Pin Name,Raw Link (in DB),Normalized URL,HTTP Status,Link Status,Has Image
856,Blend.Arabic בלנדר,www.blenarabic.com,https://www.blenarabic.com,-,Unreachable (domain may not exist) | Note: MISSING PROTOCOL (fixed),No
627,Migvanim,,,-,No link,No
859,אדבר איתך (תזמורת המהפכה),https://www.rev-orch.com/%D7%90%D7%93%D7%91%D7%A8-%D7%90%D7%99%D7%AA%D7%9A-%D8%A3%D8%AA%D8%AD%D8%AF%D8%AB-%D8%A5%D9%84%D9%8A%D9%83/  https://www.rev-orch.com/i-shall-speak-to-you/,https://www.rev-orch.com/%D7%90%D7%93%D7%91%D7%A8-%D7%90%D7%99%D7%AA%D7%9A-%D8%A3%D8%AA%D8%AD%D8%AF%D8%AB-%D8%A5%D9%84%D9%8A%D9%83/,200,Working | Note: MULTIPLE URLS (using first),Yes
875,אדבר איתך,www.rev-orch.com,https://www.rev-orch.com,200,Working | Note: MISSING PROTOCOL (fixed),Yes
832,איחוד קהילות הורים,,,-,No link,No
845,אנסמבל קול הנוער,Kolhanoar.com,https://Kolhanoar.com,-,Unreachable (domain may not exist) | Note: MISSING PROTOCOL (fixed),Yes
697,אנסמבל הנוער של הגליל,https://www.jerusalem-orchestra.co.il,https://www.jerusalem-orchestra.co.il,-,Unreachable (domain may not exist),Yes
687,אקוסיסטם הבוסתן,https://www.facebook.com/bustan.sharedcommunity/?locale=he_IL,https://www.facebook.com/bustan.sharedcommunity/?locale=he_IL,200,Working,Yes
629,אקלים של אחדות,,,-,No link,Yes
586,ארגון אחד זהויות רבות,www.igy.org.il,https://www.igy.org.il,403,Possibly blocked (403) | Note: MISSING PROTOCOL (fixed),Yes
849,אשת אשכולות - סופרסונס,https://www.supersonas.com/,https://www.supersonas.com/,200,Working,Yes
709,בוניה – לומדים לתקשר,,,-,No link,Yes
844,בונים את המשותף - רמלה,https://www.ramle-foundation.org/,https://www.ramle-foundation.org/,302,HTTP Error,Yes
