id,post_title,post_name_en,post_content,post_status,post_type,location,operating_org,project_link,geographic_region,recruitment_cycle,target_audience,latitude,longitude,cohurt,image_file_name
1,בלנדר אראביכ,Blend.Arabic,"קידום לכידות חברתית בחברה הישראלית באמצעות בית ספר ללימוד השפה והתרבות הערבית, תוך יצירת אינטראקציות בין הקבוצות השונות",publish,project,"ירושלים ,אבו גוש ,לוד ויפו        ובכל רחבי הארץ",בלנדר,www.blenarabic.com,ירושלים,מחזור א,צעירים וסטודנטים | יהודים וערבים,31.761695,35.174569,דיאלוג ושיח,בלנדר מחזור א.psd
2,החממה -  אלדפיאה מנהיגות נשית ויזמות מקומית,The Incubator,יצירת מרחב חיים משותף באמצעות פיתוח מנהיגות נשית מקומית משותפת שמוציאה לפועל יוזמות קהילתיות משותפות,publish,project,ירושלים,פרזטנס,https://www.talpaz.org.il/page.php?type=shluha&id=3625&bc=AC11,ירושלים,מחזור א,יהודים וערבים | אנשי מקצוע ופעילים,31.7784,35.2216,מנהיגות ויזמות,
3,המרכז לצדק חברתי בעיר חריש,Center for Social Justice,יצירת בית לפעילים חברתיים בחריש המהווה פלטפורמה לפעילות. מקום קהילתי ויוצר תרבות בו אנשים מקהילות שונות חוברים כדי להיטיב יחד בעיר.,publish,project,חריש,תנועת הבוגרים של השומר הצעיר,https://merkazim.org/about/,כרמל,מחזור א,אנשי מקצוע ופעילים,32.4698,35.0435,קהילה ורווחה | מנהיגות ויזמות,מרכזים לצדק חברתי.jpg
4,ירושלמית מדוברת,Jerusalem women talk,קהילת נשים ירושלמיות ממערב ומזרח העיר המקדמות היכרות מעמיקה בין האוכלוסיות השונות בעיר באמצעות מרחב נשי וצמצום פערים ואי שיוויון הנובעים מפערי שפה,publish,project,ירושלים,כולנא ירושלים,https://www.facebook.com/YerushalmitMeduberet,ירושלים,מחזור א,נשים | יהודים וערבים,31.7683,35.2137,דיאלוג ושיח,ירושלמית מדוברת.jpeg
5,הרחבת מאמנט בחברה הערבית ופיתוח מאמנט בחברה הערבית,Mamanet  Four Tribes,פלטפורמה לקהילת אימהות מכלל גווניה של החברה בישראל ליצירת שיח דרך משחק ופעילות ספורטיבית למען עתיד משותף,publish,project,בכל רחבי הארץ,מאמאנט - ליגת אימהות בכדורשת,www.mamanet.org.il,מרכז,מחזור א,נשים | יהודים וערבים,32.0878,34.8877,ספורט | קהילה ורווחה,מאמאנט.jpg
6,מסע חברתי- מפגש של סטודנטים ממגזרים מגוונים למספר ימים חוויתיים בטבע,Social Journey,"מסע שפועל במרחבי הטבע, בדרום ובצפון, כחלק בלתי נפרד מתוכניות לימודים אקדמית במטרה להפגיש קבוצות מנוגדות מהחברה ולהפוך להיות תנועה חברתית משפיעה",publish,project,בכל רחבי הארץ,רוח נכון,https://m.facebook.com/masahevratii,דרום,מחזור א,צעירים וסטודנטים | יהודים וערבים,31.0461,34.8516,טבע וסביבה | דיאלוג ושיח,רוח נכון.jpg
7,מעיין במדבר,Ma'ayan Bamidbar - Desert Spring,יצירת גשרים וחברויות בין סטודנטים ערבים ויהודים תוך חיזוק החיים המשותפים בתוך המוסדות האקדמיים באמצעות לימוד שפה ותרבות,publish,project,פריסה ארצית מתל חי בצפון ועד באר שבע בדרום,עמותת ציוני דרך,https://www.tzioneiderech.com/maayanbamidbar,דרום,מחזור א,צעירים וסטודנטים | יהודים וערבים,30.6102,34.8019,תרבות ואומנות | דיאלוג ושיח,מעיין במדבר.jpg
8,סטודיו משלך- מרכז לאומנות נשים,Studio of Her Own - Hub for women artists,סטודיו שמהווה בית ומרחב ליצירה לנשים אומניות ויוצרות מכלל גווניה של החברה בישראל לטובת הרחבת הייצוג של אומנות נשים בארץ תוך ביסוס קהילת אומניות המעשירה את השיח,publish,project,ירושלים,סטודיו משלך,https://studioofherown.com/,ירושלים,מחזור א,נשים,31.7823,35.2314,תרבות ואומנות | חינוך,סטודיו משלך.jpg
9,סיור נרטיבים ביפו - בית סיסטם עאלי,Show Tours in Jaffa,קידום ושינוי חברתי-תרבותי-פוליטי על ידי שימוש בכלים מעולם האומנות והתרבות באמצעות סיורים והופעות בעיר יפו,publish,project,יפו,בית סיסטם עאלי,www.Beitsystemali.com,מרכז,מחזור א,אנשי מקצוע ופעילים,32.0504,34.7522,תרבות ואומנות | דיאלוג ושיח,סיסטם עלי.jpg
10,"תוכנית ""הרשת"" והקמת ""הרשתית"" האב החברתי בבית שאן",City Valley Network,"רשת חברתית של עשייה מקומית, חיבורים ויוזמות קהילתיות המשותפות לאנשי העיר ואנשי העמק",publish,project,בית-שאן ועמק המעיינות,אין,https://www.facebook.com/people/%D7%94%D7%A8%D7%A9%D7%AA-%D7%A2%D7%99%D7%A8%D7%A2%D7%9E%D7%A7/100064470441457/,צפון,מחזור א,אנשי מקצוע ופעילים,32.4973,35.496,קהילה ורווחה | מנהיגות ויזמות,הרשת בית שאן.jpg
